Pilot Full Name,License Number,Nationality,Date of Birth,License Type,Issuing Authority,License Issue Date,License Expiry Date,Flight Date,Aircraft Registration,Aircraft Make/Model,Simulator Device,Route From (ICAO),Route To (ICAO),Total Flight Time (HH:MM),Aircraft LSA,Aircraft Single Engine,Aircraft Multi Engine,Aircraft Turboprop,Aircraft Turbojet,Aircraft Helicopter,Aircraft Glider,Aircraft Ultralight Motorized,Aircraft Ultralight Non-Motorized,Day Time (HH:MM),Night Time (HH:MM),IFR Time (HH:MM),Approach Type,Approach Count,Simulator Type,Simulator Time (HH:MM),Cross Country Time (HH:MM),Solo Time (HH:MM),PIC Time (HH:MM),SIC Time (HH:MM),Dual Received (HH:MM),Instructor Time (HH:MM),Remarks,Certification Type,Issued By,Certification Issue Date,Certification Valid Until,Certification Description,Certification Status
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,4/29/2025,CC-TGD,Cessna Citation M2,None,SCSE,SCVD,2:12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1:59,0:13,0:00,None,0,None,0:00,1:14,0:00,2:12,0:00,0:00,0:00,Cessna Citation M2 SCSE-SCVD training flight.,None,N/A,2023-02-28,2024-02-28 0:00:00,N/A,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,12/5/2024,CC-CGP,Beechcraft Baron 58,Frasca FTD,SCTE,SCAR,2:26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:26,0:00,0:36,Visual,4,BasicInstrumentTrainer,0:11,0:27,0:00,2:26,0:00,0:00,0:00,Beechcraft Baron 58 SCTE-SCAR training flight.,None,N/A,2023-11-28,2024-11-27 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,12/11/2023,CC-TEK,Pilatus PC-12,None,SCFA,SCDA,3:10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3:10,0:00,0:00,None,0,None,0:00,2:06,0:00,3:10,0:00,0:00,0:00,Pilatus PC-12 SCFA-SCDA training flight.,Night Endorsement,IOA,2023-03-31,2023-12-30,Night Endorsement recorded for training block.,expired
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,11/22/2023,CC-PUS,Diamond DA40,None,SCTE,SCSE,3:57,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3:57,0:00,0:00,None,0,None,0:00,3:30,0:00,3:57,0:00,0:00,0:00,Diamond DA40 SCTE-SCSE training flight.,None,N/A,2024-10-17,2025-10-17 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,12/15/2023,CC-QWP,Beechcraft King Air C90,None,SCVD,SCSE,2:44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2:44,0:00,0:00,None,0,None,0:00,0:26,0:00,2:44,0:00,0:00,0:00,Beechcraft King Air C90 SCVD-SCSE training flight.,Solo Endorsement,IE,2024-04-17,2025-01-03,Solo Endorsement recorded for training block.,active
Rafael Ascanio,CL-PPL-00123,Chile,4/12/1990,PPL(A),DGAC Chile,6/15/2020,6/15/2026,2/17/2024,CC-QJJ,Piper PA-34 Seneca,None,SCAR,SCVD,1:53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:53,0:00,0:28,RNAV,1,None,0:00,0:03,0:00,1:53,0:00,0:00,0:00,Piper PA-34 Seneca SCAR-SCVD training flight.,Type Rating Check,IE,2025-08-31,2028-03-14,Type Rating Check recorded for training block.,active
María Valenzuela,CL-CPL-00456,Chile,10/3/1987,CPL(A) IR,DGAC Chile,9/1/2019,9/1/2025,4/24/2024,CC-ZQO,Piper PA-34 Seneca,None,SCBA,SCCF,2:41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2:41,0:00,0:00,None,0,None,0:00,2:21,0:00,0:05,0:00,2:36,2:36,Piper PA-34 Seneca SCBA-SCCF training flight.,None,N/A,2022-12-26,2023-12-26 0:00:00,N/A,active
Javier Ríos,CL-ATPL-00789,Chile,1/25/1982,ATPL(A),DGAC Chile,3/20/2015,3/20/2027,4/7/2024,CC-KBX,DG-1000,None,SCCI,SPJC,0:43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0:39,0:04,0:00,None,0,None,0:00,0:37,0:00,0:06,0:00,0:37,0:37,DG-1000 SCCI-SPJC training flight.,None,N/A,2024-06-08,2025-06-08 0:00:00,N/A,active
Camila Torres,CL-PPL-00234,Chile,8/19/1994,PPL(H),DGAC Chile,11/11/2021,11/11/2027,4/23/2025,CC-XQD,Embraer Phenom 300,None,SCDA,SCFA,0:53,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0:53,0:00,0:00,None,0,None,0:00,0:41,0:00,0:53,0:00,0:00,0:00,Embraer Phenom 300 SCDA-SCFA training flight.,None,N/A,2024-02-23,2025-02-22 0:00:00,N/A,active
Diego Fuentes,CL-CPL-00321,Chile,5/30/1989,CPL(A),DGAC Chile,1/10/2020,1/10/2026,2/6/2024,CC-KFZ,Diamond DA42,Redbird FMX,SCTE,SCJO,1:57,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1:57,0:00,0:00,None,0,FTD,1:30,0:18,0:00,0:05,1:52,0:00,0:00,Diamond DA42 SCTE-SCJO training flight.,None,N/A,2023-04-15,2024-04-14 0:00:00,N/A,active
